id,type,text1,text2,text3,text4,text5,notes
els_sirocco,WEAPON,"An unorthodox kinetic weapon that accelerates a mass of ferrous gravel through a powerful electromagnetic coil. At close range, this dense cloud of hypervelocity shrapnel shreds exposed hull plating and lightly armored targets.",Close Support,,,,
els_alkahest,WEAPON,"A massive energy projector firing a sustained, corrosive thermal beam. The Alkahest destabilizes armor composites and overwhelms shielding with brute force. Unstable positron reactions within the beam occasionally trigger critical localized explosions.",Assault,,,,
els_alkahest_ftr,WEAPON,"A miniaturized Alkahest beam adapted for heavy fighters. Despite the reduced power output, it retains the distinctive armor-destabilizing properties of its capital-grade counterpart, making these fighters a severe threat to major warships.",Assault,,,,
els_alkahest_pod,WEAPON,"An integrated pod mounting dual Alkahest beam emitters. This configuration is optimized for sustained engagement, utilizing automated cooling systems to maintain the blistering, armor-dissolving output over long durations.",Assault,,,,
els_shamshir_ftr,WEAPON,"A specialized energy weapon developed exclusively for Directory fighter craft. It delivers rapid, concentrated pulses of energy designed to efficiently strip shielding and disable opposing interceptors in chaotic dogfights.",Close Support,,,,
els_hulldefgun,WEAPON,"An integrated, built-in defensive gun turret. Primarily designed to deter incoming fighters and munitions, these concealed batteries deploy rapidly to protect vital hull segments when the primary defensive grid is overwhelmed.",Point Defense,,,,
els_heatvent,WEAPON,"A passive thermal regulation vent array, essential for dissipating the immense heat generated by The Directory's advanced electromagnetic weapon systems. Crucial for prolonged operational stability.",Decorative,,,,
els_adept,SHIP,"A dedicated AWACS and sensor platform, the Adept-class frigate serves as the nerve center for Directory patrol groups. Equipped with a powerful multi-mode electronically-scanned array (MESA) radar, it enhances the targeting and detection capabilities of allied vessels. While lightly armed, its strategic value in providing early warning and tactical oversight is immeasurable.",,,,,
els_chevalier,SHIP,"The Chevalier-class destroyer is a versatile and nimble combatant favored by Directory commanders for aggressive maneuvers. Balancing robust armor with an adaptable weapon grid, it performs exceptionally well both as a rapid-response element in major fleet actions and as the vanguard of independent task forces.",,,,,
els_lancier,SHIP,"A heavy frigate designed for relentless assault, the Lancier features an aggressive ballistic loadout and a reinforced shield emitter. Distinguishing itself from standard frigates, it hosts a dedicated drone bay, allowing it to project localized fighter cover and adapt to rapidly changing tactical scenarios.",,,,,
els_damascus,SHIP,"The Damascus-class picket frigate is the quintessential patrol vessel of The Directory. Prioritizing sensory equipment and mobility over heavy armor, it excels in securing perimeters, intercepting smugglers, and providing vital flank security during major fleet engagements.",,,,,
els_mistral,SHIP,"A rugged, reliable light freighter commonly found traversing the Sector's trade lanes. The Mistral compensates for its modest cargo capacity with highly modular internals, exceptional ease of maintenance, and sufficient defensive armaments to deter opportunistic pirates.",,,,,
els_sommelier,SHIP,"A militarized fleet tanker, the Sommelier-class provides vital logistical support for long-range Directory deployments. Featuring a heavily reinforced hull and a compact flight deck for underway replenishment and fighter rearmament, its tactical utility comes at the cost of remarkably sluggish drive performance.",,,,,
els_dupleix,SHIP,"A fast, light fleet carrier tailored for rapid strike operations. The Dupleix-class sacrifices heavy armor and bulk for speed, utilizing its single spacious flight deck to launch precision bomber strikes and fighter screens before retreating to the safety of the backline.",,,,,
els_hallebarde,SHIP,"A specialized missile destroyer, the Hallebarde is designed to deliver overwhelming long-range fire support. Built around advanced targeting computers and expansive missile magazines, it acts as a dedicated bombardment platform, capable of breaking defensive lines from well beyond retaliation range.",,,,,
els_djinn,SHIP,"An advanced trans-atmospheric interceptor utilized extensively by The Directory. Armed with a precision maser and boasting exceptional thrust-to-weight ratios, the Djinn is beloved by its pilots for its nimble handling and surprising durability in chaotic dogfights.",,,,,
els_ifrit,SHIP,"A formidable heavy fighter designed to crack major warships. The Ifrit sacrifices the agility of interceptors for dense armor plating and heavy assault weaponry. It operates as the tip of the spear in carrier strikes, reliably punching holes in enemy defensive lines.",,,,,
els_awacs,SHIP_SYSTEM,"A networked array of multi-mode electronically scanned array (MESA) radars and LADAR rangefinders. When synchronized with fleet communication systems, it dramatically enhances the targeting algorithms and sensor resolution of all allied spacecraft in the vicinity.",Support,"Improves allied weapon accuracy, range, and sensor resolution.",,,
els_rcsburst,SHIP_SYSTEM,"A sophisticated maneuverability enhancement system. It forcefully purges high-energy propellants directly into the ship's reaction control thrusters, granting an immediate, violent surge in rotational speed and acceleration to evade incoming fire.",Movement,Temporarily boosts ship acceleration and turn rate.,,,
els_aminjector,SHIP_SYSTEM,"An experimental and highly dangerous drive modification. The system injects a catalyzed beam of antiprotons directly into the main drive stream, mimicking the performance of a sustained burn without diverting flux. The resulting thermal stress presents a critical risk of engine failure.",Movement,Provides sustained burn capabilities at massive risk of engine flameout.,,,
station_liberte,CUSTOM,"Liberté's heavily-fortified ""high ground"", the massive Al Qasbah Orbital is home to both myriad major orbital industries and to a sprawling Garde Nationale naval installation.",,,,,
